@relation Andando


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
1.381706,-1.648815,1.439123,-9.601970,1.615412,0.487052,Leve
2.892330,-1.300803,3.344252,-9.510966,2.521241,0.047579,Leve
3.808792,-1.373920,3.946328,-9.544391,3.334459,-0.000235,Leve
3.150739,-1.786990,2.427106,-9.538593,1.938265,0.138136,Leve
1.787111,-1.205715,2.642325,-9.558334,2.132801,0.109382,Leve
2.261893,-1.330378,4.291112,-9.549790,3.679126,-0.437552,Leve
0.817305,-1.075284,1.552394,-9.565363,1.471756,-0.789991,Leve
1.758409,-1.342795,2.033340,-9.500498,2.010625,-0.874189,Leve
2.056719,-1.547851,2.971522,-9.586360,1.158699,-0.521889,Leve
2.388392,-1.250994,3.232159,-9.484254,2.286645,-1.051266,Leve
6.875744,-1.265993,4.245461,-9.520308,6.101865,-0.246251,Leve
5.619527,-1.498244,6.013637,-9.670085,4.958688,-0.680097,Leve
3.489940,-1.434223,1.510642,-9.274060,4.613352,-1.752005,Leve
4.872561,-1.499169,4.228608,-9.591454,3.495697,-0.047485,Leve
5.178735,-1.341387,7.511767,-9.646379,4.143221,-0.339155,Leve
5.195238,-1.667421,5.040380,-9.560141,2.533957,0.015703,Leve
3.166242,-1.728332,2.590835,-9.503925,1.938945,-0.611484,Leve
3.305000,-1.519528,5.836396,-9.402174,3.099268,0.029880,Leve
1.878649,-1.610125,2.351119,-9.546089,2.531394,-0.563595,Leve
4.062530,-1.554682,3.923297,-9.784586,3.363655,-0.215995,Leve
3.764490,-1.576488,3.180376,-9.431676,2.545323,0.251837,Leve
1.720062,-1.711760,1.520615,-9.652647,1.551524,0.532287,Leve
1.521321,-1.557686,1.885276,-9.477964,1.499986,0.250218,Leve
1.544581,-1.242255,2.571876,-9.688879,2.503583,-0.809288,Moderado
3.528809,-1.882500,4.597817,-9.438999,3.294307,-1.266228,Moderado
4.185090,-1.548498,4.871932,-9.582936,3.049309,-0.113725,Moderado
2.370454,-0.923246,2.507812,-9.522116,4.665056,-1.462247,Moderado
3.816596,-1.671622,4.966738,-9.481273,3.918067,-0.210854,Moderado
6.904059,-1.895178,8.483045,-9.890112,3.367829,-0.321924,Moderado
5.814521,-1.742791,3.719153,-9.467612,2.654830,-0.605311,Moderado
4.312767,-1.741477,5.020665,-9.449374,2.972380,0.173157,Moderado
5.221064,-1.758182,6.531776,-9.583654,2.597788,0.212725,Moderado
5.032609,-1.698375,8.151128,-9.585737,2.965948,0.036536,Moderado
2.363504,-1.928841,3.363026,-9.541995,2.331245,0.149638,Moderado
2.644080,-1.145297,4.640573,-9.720975,2.668571,-0.344483,Moderado
3.006255,-1.294653,2.185028,-9.340039,4.006607,-1.589773,Moderado
5.972597,-1.606533,6.417927,-9.231830,2.402011,-0.102246,Moderado
5.131963,-1.983925,5.223953,-9.782896,3.524623,-0.234866,Moderado
4.525244,-1.215808,8.468856,-9.731867,3.333801,-0.220243,Moderado
1.327339,-1.077941,2.426405,-9.376747,3.149240,-1.683435,Moderado
4.135153,-1.739716,5.990988,-9.472753,2.990651,-0.458842,Moderado
3.825779,-1.720469,4.459500,-9.488127,2.810185,-0.323076,Moderado
4.793503,-2.171236,4.778169,-9.596970,3.394856,-0.483723,Moderado
3.329534,-1.154897,3.230960,-9.662669,3.279011,-0.750535,Moderado
3.125287,-1.339298,3.080124,-9.465124,4.149886,-1.659675,Moderado
5.206555,-1.656670,6.674768,-9.434047,2.947266,-0.151422,Moderado
5.701843,-1.796824,4.154301,-9.390442,5.403793,-0.446806,Vigoroso
13.482655,-1.553320,10.869887,-9.556386,8.726105,-0.891253,Vigoroso
7.129458,-1.679955,6.376216,-9.177445,12.381162,-2.142200,Vigoroso
19.567836,-1.748797,9.595303,-9.328193,10.463476,-0.183372,Vigoroso
6.329472,-1.499028,5.905371,-9.588684,5.938566,-0.444336,Vigoroso
16.258630,-2.447038,10.923666,-9.166459,14.739766,-0.476845,Vigoroso
7.365405,-2.128469,8.105459,-9.456235,6.525797,-0.822983,Vigoroso
10.154851,-1.748824,11.222478,-9.451111,8.448519,-0.611625,Vigoroso
10.570927,-1.763259,8.224860,-9.588989,9.455571,-0.894281,Vigoroso
11.675921,-2.505415,4.057153,-9.173196,8.203931,-0.482432,Vigoroso
8.904617,-1.524520,7.369312,-9.336283,10.780603,0.156374,Vigoroso
12.030144,-2.345887,8.719700,-9.604939,8.171057,-0.345651,Vigoroso
14.702085,-1.758517,9.723583,-9.623805,15.005031,-0.498904,Vigoroso
7.976824,-2.552524,7.651138,-9.510497,6.589369,-0.164590,Vigoroso
9.825175,-2.029321,10.460836,-9.311966,6.210191,-0.499027,Vigoroso
9.534457,-1.508706,12.451000,-9.627971,6.000405,-0.156150,Vigoroso
7.369937,-1.555644,10.764942,-9.369614,5.938454,-0.641857,Vigoroso
9.977640,-1.508652,8.098280,-9.015507,14.665219,-1.216372,Vigoroso
4.464889,-1.433480,6.599564,-9.749596,4.971825,-1.066066,Vigoroso
9.867152,-1.886467,9.336883,-9.346330,4.717349,0.143981,Vigoroso
9.220878,-1.742228,9.209346,-9.532725,7.444378,-0.515434,Vigoroso
9.923931,-1.722229,9.152447,-9.381351,9.095534,-0.611249,Vigoroso
10.023287,-2.503210,8.464212,-9.240014,5.671396,-0.057676,Vigoroso
6.955043,-2.144383,7.741263,-9.271617,4.902046,-0.602846,Vigoroso
5.783892,-2.422621,5.662965,-9.575945,9.360343,-0.676697,Vigoroso
5.117079,-2.792094,4.088475,-9.205969,4.095880,-0.198048,Vigoroso
2.099288,-1.176430,3.424126,-9.433332,1.088858,1.696956,Leve
5.861547,-1.449426,6.539718,-9.588371,2.683129,1.179743,Leve
4.773591,-1.356267,4.832906,-9.614815,3.244805,0.749361,Leve
5.177903,-1.458887,9.179889,-9.654192,3.650802,0.659448,Leve
3.456798,-1.084905,5.631355,-9.537895,3.017969,1.222394,Leve
3.089982,-1.201463,4.883947,-9.674851,3.276312,0.494533,Leve
2.076647,-1.208562,7.957498,-9.673701,2.365776,0.751187,Leve
3.055326,-1.434411,6.392065,-9.475504,2.310419,0.968455,Leve
2.945880,-1.518718,4.170231,-9.462774,3.135026,1.125867,Leve
5.452421,-1.822165,6.040135,-9.601175,3.690759,0.100888,Leve
4.408001,-1.383753,10.973016,-9.671461,6.311654,0.768120,Leve
3.967223,-1.531960,7.169248,-9.414377,3.042376,1.000107,Leve
2.934594,-1.230955,4.893599,-9.517490,1.989719,1.320702,Leve
2.748076,-1.112142,7.103741,-9.521053,2.431302,0.563763,Leve
3.629091,-1.287488,10.254991,-9.358626,3.581321,0.959494,Leve
2.184144,-1.456042,5.428317,-9.381229,2.526847,1.512851,Leve
4.534213,-1.233193,5.862746,-9.868756,2.735264,0.861027,Leve
4.064266,-1.205469,5.791762,-9.640324,2.663848,1.050142,Leve
3.856463,-1.460534,3.392082,-9.507339,3.177200,1.560166,Leve
3.328791,-0.799438,5.910385,-9.507150,3.317576,0.844134,Leve
5.464833,-1.175873,9.135178,-9.691527,3.164255,1.501710,Leve
2.481838,-1.901648,5.204778,-9.291660,2.213928,1.795047,Leve
3.551495,-1.251824,6.640611,-9.410943,3.094019,1.174901,Leve
