@relation Deitado


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
0.053411,7.150964,0.009573,-0.842336,0.016233,6.600321,Leve
0.122232,7.230419,0.030974,-0.819357,0.055790,6.508567,Leve
0.140239,7.184178,0.014924,-0.845552,0.040020,6.556357,Leve
0.184740,7.517887,0.022744,-0.441848,0.048347,6.170585,Leve
0.224780,7.365019,0.054429,-0.582892,0.079207,6.367595,Leve
0.192687,7.165728,0.021283,-0.789547,0.031084,6.573070,Leve
0.182569,7.153687,0.015291,-0.776731,0.036652,6.625718,Leve
0.215808,7.197018,0.022930,-0.808043,0.052430,6.552499,Leve
0.344501,7.231616,0.039187,-0.796025,0.094261,6.482160,Leve
0.257114,7.125637,0.028782,-0.762295,0.046617,6.620789,Leve
0.206999,7.124863,0.018251,-0.809217,0.038338,6.611518,Leve
0.196260,7.153523,0.019231,-0.842806,0.041738,6.578257,Leve
0.262673,7.194456,0.030162,-0.907953,0.048528,6.513186,Leve
0.321342,7.218330,0.031098,-0.901229,0.073705,6.511595,Leve
0.393297,7.361536,0.084703,-0.738799,0.151413,6.376886,Leve
0.282064,7.461670,0.130463,-0.137315,0.100754,6.259781,Leve
0.300999,7.316234,0.054593,-0.332864,0.090053,6.452960,Leve
0.346101,7.401534,0.118380,-0.219257,0.140695,6.401767,Leve
0.341392,7.194412,0.102186,-0.252048,0.110141,6.540020,Leve
0.589032,7.205518,0.187479,-0.364086,0.214535,6.545628,Leve
0.448819,7.131764,0.065374,-0.659321,0.169563,6.622855,Leve
0.124223,7.268726,0.049292,-0.284394,0.038827,6.530138,Leve
0.695198,7.159203,0.108438,-0.562027,0.206403,6.622033,Leve
0.828389,7.419725,0.143320,-0.558741,0.408469,6.277151,Leve
0.445031,7.361332,0.152025,-0.523420,0.167039,6.333693,Leve
0.512992,7.364426,0.110991,-0.157603,0.205964,6.369083,Leve
0.321009,7.234667,0.037048,-0.541536,0.096491,6.523049,Leve
0.458864,7.190386,0.053540,-0.821882,0.098366,6.538565,Leve
0.591908,7.150542,0.053643,-0.642327,0.209034,6.606448,Leve
0.471978,7.477913,0.231707,-0.394151,0.269465,6.239524,Leve
0.713935,7.561679,0.106376,-0.536732,0.304780,6.110482,Leve
0.352350,7.361771,0.104524,-0.114640,0.145045,6.356981,Leve
0.658806,7.271574,0.082764,-0.604895,0.152106,6.449453,Leve
0.590414,7.148781,0.039157,-0.734011,0.156138,6.587458,Leve
0.371482,7.135918,0.030703,-0.833933,0.091940,6.610367,Leve
0.592749,7.288979,0.043890,-0.794085,0.145960,6.415144,Leve
0.659501,7.281495,0.051106,-0.756826,0.150264,6.439393,Leve
0.561786,7.405984,0.253047,-0.350798,0.232945,6.311666,Leve
0.405146,7.282598,0.040098,-0.870316,0.147279,6.416977,Leve
0.294646,7.297198,0.027559,-0.863626,0.095615,6.401321,Leve
0.282339,7.182722,0.027567,-0.876395,0.069004,6.535983,Leve
0.346059,7.196372,0.032049,-0.868856,0.080459,6.535452,Leve
0.311936,7.194737,0.028619,-0.895454,0.088347,6.531797,Leve
0.383418,7.300719,0.049875,-0.886864,0.147081,6.413127,Leve
0.464334,7.412688,0.072491,-0.396360,0.204263,6.334172,Leve
0.473021,7.389797,0.062981,-0.515950,0.168372,6.300177,Leve
0.533764,7.218659,0.183164,-0.554962,0.503708,6.487160,Leve
0.278419,7.481401,0.184470,0.076112,0.168898,6.312816,Leve
0.287634,7.386042,0.015682,-0.944912,0.122506,6.290788,Leve
0.304879,7.206547,0.020327,-0.857459,0.089296,6.527504,Leve
0.672101,6.955719,0.152733,-1.644206,0.167162,6.621822,Moderado
0.833470,7.000012,0.038386,-1.587238,0.221133,6.575792,Moderado
0.527552,7.022002,0.017217,-1.592288,0.188516,6.579985,Moderado
0.318880,6.956236,0.014704,-1.558461,0.106767,6.655670,Moderado
0.690869,6.949616,0.046649,-1.555550,0.202349,6.619404,Moderado
0.695836,7.001244,0.023192,-1.590684,0.197199,6.579147,Moderado
0.686711,6.940120,0.023050,-1.537054,0.222304,6.652409,Moderado
0.424445,7.025292,0.019626,-1.518346,0.128853,6.622667,Moderado
0.314524,6.990365,0.015714,-1.544683,0.106615,6.647830,Moderado
0.120296,6.987837,0.015530,-1.603948,0.057535,6.614246,Moderado
0.107980,6.973981,0.016536,-1.578600,0.040224,6.646750,Moderado
0.019486,6.953121,0.010005,-1.568082,0.017794,6.660478,Moderado
0.062221,6.991421,0.012249,-1.564540,0.033259,6.626446,Moderado
0.091286,6.979577,0.018131,-1.581179,0.049692,6.634429,Moderado
0.033398,7.002594,0.006151,-1.577708,0.019807,6.619663,Moderado
0.037601,6.940861,0.009452,-1.541866,0.024262,6.693601,Moderado
0.170842,6.971094,0.023436,-1.575596,0.070086,6.664260,Moderado
0.842579,6.898006,0.036987,-1.603636,0.210429,6.680876,Moderado
0.635843,6.922999,0.018430,-1.523088,0.196089,6.687263,Moderado
0.518794,6.911103,0.022564,-1.507485,0.139061,6.722463,Moderado
0.454110,6.887344,0.017809,-1.530012,0.137516,6.726791,Moderado
0.448126,6.933726,0.033672,-1.570174,0.131677,6.653557,Moderado
0.291010,7.308911,0.077516,-1.144358,0.259761,6.382543,Moderado
5.795920,7.206430,0.764320,-1.042299,30.138956,2.643809,Vigoroso
7.756340,8.336516,0.817191,-0.837971,16.198722,2.155955,Vigoroso
25.129598,3.637379,0.884375,-0.015210,8.533964,7.370996,Vigoroso
25.354411,4.164596,0.208572,-0.822103,2.886985,7.529342,Vigoroso
32.235123,3.056007,0.470719,-0.687710,4.171403,7.470628,Vigoroso
30.367890,3.473236,0.468822,-0.632351,4.377001,7.390924,Vigoroso
24.817677,4.498873,0.492131,-0.885903,3.181049,7.371148,Vigoroso
25.935953,2.686482,0.415550,-0.809569,3.311579,7.835659,Vigoroso
30.272582,4.804928,0.404692,-0.578434,4.659581,6.806739,Vigoroso
25.597537,5.190934,0.675137,-0.751052,4.174941,6.775872,Vigoroso
22.670702,3.647566,0.437251,-0.883249,3.009127,7.603046,Vigoroso
24.922320,3.872692,0.397385,-0.756450,3.553981,7.458995,Vigoroso
24.527826,4.868130,0.555355,-0.989404,2.472907,7.257855,Vigoroso
27.342698,4.156741,0.894590,-0.965534,4.552569,7.101059,Vigoroso
33.567908,3.663856,0.859477,-0.763750,4.353042,7.138805,Vigoroso
26.347916,5.203965,0.665099,-0.389824,3.496244,6.762495,Vigoroso
29.551911,4.087653,0.718203,-0.733799,3.141807,7.188403,Vigoroso
28.110700,3.431196,0.553042,-0.724833,3.360482,7.500870,Vigoroso
23.553114,5.355031,0.638400,-0.694624,3.263174,6.863965,Vigoroso
28.955373,4.872764,0.936654,-0.618033,3.166146,6.943772,Vigoroso
24.258267,3.660547,0.875432,-0.946766,2.998990,7.489016,Vigoroso
27.023370,4.043220,0.868671,-0.800790,3.368500,7.323041,Vigoroso
21.301188,5.486888,0.613730,-0.566037,3.686348,6.830298,Vigoroso
23.873320,4.680312,0.718989,-0.810250,4.323061,7.101437,Vigoroso
14.948978,3.815137,0.816472,-1.641178,2.380765,7.835283,Vigoroso
0.042206,6.971375,0.028754,1.167361,0.037554,6.815259,Leve
2.620828,2.866470,0.098955,2.147482,0.281672,9.037947,Leve
0.218297,5.873376,0.059635,1.465087,0.114366,7.733647,Leve
0.069488,7.496457,0.019992,1.128115,0.074268,6.189856,Leve
0.005258,7.366599,0.005032,1.322389,0.004943,6.306710,Leve
0.000948,7.272528,0.007847,1.399200,0.000775,6.399138,Leve
0.015483,7.038155,0.005077,1.534777,0.014581,6.637032,Leve
0.404781,6.013229,0.050918,1.983022,0.211652,7.469670,Leve
0.269313,3.846520,0.033300,2.601887,0.044733,8.673841,Leve
0.137809,4.061223,0.030010,2.566655,0.024852,8.617694,Leve
0.708462,6.161455,0.030655,1.884683,0.380606,7.331093,Leve
0.208085,7.519421,0.056473,1.153383,0.158057,6.140289,Leve
0.442444,7.134003,0.078465,1.263420,0.279562,6.547854,Leve
0.731214,7.845940,0.162736,1.123233,1.172590,5.515748,Leve
0.017773,9.261805,0.010609,0.327184,0.056100,2.934939,Leve
0.089933,8.765078,0.033222,0.646035,0.375074,4.155207,Leve
0.098391,7.647667,0.033616,0.999626,0.158438,5.997287,Leve
0.094776,6.684707,0.042185,1.046290,0.062534,7.059328,Leve
0.030823,6.279752,0.009206,1.576678,0.019082,7.367126,Leve
0.413344,7.632835,0.068160,1.136551,0.541632,5.935609,Leve
0.075389,8.605043,0.021187,0.625520,0.159308,4.531261,Leve
0.128084,8.460381,0.037121,0.677653,0.219435,4.773991,Leve
0.368499,9.162035,0.089508,0.405195,3.369942,2.577789,Leve
1.149415,4.929685,0.037259,1.877006,0.292997,8.250108,Moderado
2.875789,0.476188,0.108704,2.509335,0.121233,9.392312,Moderado
2.626981,7.750852,0.496076,0.979158,7.151705,4.998882,Moderado
0.019771,9.596080,0.013636,-0.089926,0.098779,-1.412938,Moderado
0.813637,8.924176,0.184320,0.482854,6.885556,2.731056,Moderado
5.973737,1.608364,0.118173,2.802202,0.485873,8.988983,Moderado
0.380942,-1.566676,0.061109,2.696388,0.126554,9.428061,Moderado
3.324853,1.293060,0.040958,2.768679,0.064163,9.254092,Moderado
1.837588,5.896991,0.166420,2.511972,0.982999,7.222612,Moderado
1.416614,8.293850,0.075960,1.322318,2.932418,4.567730,Moderado
