@relation Sentado


@attribute varianciaX real
@attribute mediaX real
@attribute varianciaY real
@attribute mediaY real
@attribute varianciaZ real
@attribute mediaZ real
@attribute categoria {Leve,Moderado,Vigoroso}


@data
0.040929,1.330871,0.001365,-9.428202,0.005224,2.009463,Leve
0.001108,1.401195,0.000260,-9.432591,0.001545,1.945876,Leve
0.001843,1.388027,0.000501,-9.444422,0.004375,1.892523,Leve
0.001755,1.402509,0.000318,-9.455688,0.003834,1.811683,Leve
0.002911,1.392064,0.000558,-9.465289,0.005777,1.767414,Leve
0.008462,1.388003,0.002080,-9.470453,0.009637,1.755302,Leve
0.002088,1.436122,0.000590,-9.475523,0.010880,1.667515,Leve
0.003793,1.426357,0.000617,-9.473457,0.004876,1.687044,Leve
0.039984,1.446553,0.007267,-9.450082,0.059034,1.809562,Leve
0.026803,1.524567,0.006234,-9.453177,0.111391,1.702817,Leve
0.143215,1.711136,0.011537,-9.459778,0.128945,1.392468,Leve
0.032738,1.713615,0.006523,-9.459796,0.043005,1.356034,Leve
0.014451,1.722863,0.002653,-9.475452,0.047918,1.333641,Leve
0.049353,1.647328,0.008582,-9.451815,0.020875,1.586323,Leve
0.015374,1.658032,0.002097,-9.455970,0.006943,1.527994,Leve
0.009687,1.640427,0.002254,-9.465429,0.008559,1.512150,Leve
0.009664,1.633253,0.003497,-9.471294,0.008356,1.499991,Leve
0.005884,1.636202,0.002436,-9.461369,0.011253,1.509028,Leve
0.006092,1.633127,0.003918,-9.468176,0.011227,1.499287,Leve
0.004813,1.631601,0.002288,-9.473377,0.010721,1.468077,Leve
0.009997,1.672632,0.001194,-9.451252,0.010541,1.500883,Leve
0.014074,1.716736,0.002190,-9.432450,0.016547,1.584516,Leve
0.010931,1.706419,0.001810,-9.412134,0.008856,1.729428,Leve
0.020758,1.664041,0.004586,-9.418085,0.046892,1.784384,Leve
0.387802,1.704531,0.029520,-9.378464,0.114703,1.919563,Moderado
0.513798,1.777216,0.013617,-9.404329,0.133895,1.690689,Moderado
0.560161,1.961180,0.013702,-9.370530,0.095821,1.680049,Moderado
0.404475,1.783258,0.006961,-9.395035,0.113110,1.653196,Moderado
0.399148,1.897546,0.007439,-9.393369,0.084697,1.621837,Moderado
0.300149,1.922192,0.006910,-9.351400,0.058625,1.784361,Moderado
0.409649,1.820204,0.008733,-9.348536,0.080210,1.937965,Moderado
0.436788,1.943804,0.009546,-9.312846,0.098078,1.956159,Moderado
0.288734,1.864637,0.007367,-9.312388,0.043580,2.064811,Moderado
0.348778,1.932543,0.006009,-9.329218,0.081601,1.933247,Moderado
0.346967,1.911626,0.005912,-9.350267,0.076089,1.843128,Moderado
0.499619,1.922121,0.008605,-9.363488,0.100071,1.737298,Moderado
0.527659,1.879918,0.011698,-9.351987,0.119134,1.850037,Moderado
0.352240,1.996553,0.010909,-9.342715,0.079120,1.796731,Moderado
0.392615,1.845906,0.026772,-9.353536,0.099682,1.813326,Moderado
0.471509,1.993053,0.012278,-9.350052,0.095312,1.756291,Moderado
0.574684,1.949021,0.011339,-9.373347,0.114216,1.704296,Moderado
0.521156,1.868627,0.011150,-9.364192,0.110941,1.778329,Moderado
0.539529,2.042395,0.011883,-9.341260,0.099606,1.775488,Moderado
0.495880,1.833278,0.012665,-9.364544,0.110847,1.819805,Moderado
0.508495,1.958577,0.010717,-9.335112,0.083278,1.845570,Moderado
0.382425,1.870200,0.010721,-9.394190,0.127589,1.619936,Moderado
0.707016,1.910995,0.014461,-9.360531,0.128035,1.695071,Moderado
0.613936,1.968949,0.012589,-9.376797,0.121611,1.625311,Moderado
0.565541,1.877007,0.011394,-9.350696,0.111602,1.826659,Moderado
0.599043,2.050897,0.012680,-9.329725,0.109237,1.793425,Moderado
0.480723,1.901841,0.014068,-9.337973,0.131536,1.881678,Moderado
0.376204,1.991377,0.012156,-9.332161,0.112952,1.806724,Moderado
0.180045,1.904540,0.017449,-9.271738,0.623453,2.225674,Moderado
1.114676,1.884964,0.037379,-9.369802,0.250945,1.707019,Vigoroso
2.952513,0.307162,0.107441,-9.580328,1.429669,0.136258,Vigoroso
1.842107,-0.695563,0.087723,-9.662458,0.366105,-0.424525,Vigoroso
1.975447,-0.514120,0.089464,-9.617673,0.382046,-1.108961,Vigoroso
1.030337,-0.711336,0.024238,-9.637460,0.139039,-0.574937,Vigoroso
0.954738,-0.372791,0.056856,-9.667833,0.785345,0.096965,Vigoroso
1.274078,-0.778256,0.055124,-9.631427,0.846216,-0.059879,Vigoroso
0.958706,-1.064103,0.019244,-9.605489,0.128052,-0.821570,Vigoroso
